BAG SIZE 50
PLAYERS 100
number of attempts => players count
Map(70) {
  1 => 3,
  2 => 2,
  3 => 2,
  4 => 1,
  5 => 2,
  8 => 2,
  9 => 2,
  12 => 2,
  13 => 1,
  15 => 1,
  16 => 2,
  17 => 3,
  18 => 1,
  19 => 1,
  20 => 4,
  21 => 1,
  22 => 1,
  23 => 1,
  24 => 1,
  25 => 3,
  26 => 1,
  31 => 1,
  32 => 1,
  34 => 2,
  35 => 2,
  36 => 4,
  38 => 1,
  39 => 2,
  40 => 1,
  42 => 1,
  43 => 1,
  44 => 1,
  46 => 1,
  48 => 2,
  49 => 1,
  50 => 1,
  51 => 1,
  52 => 1,
  55 => 1,
  57 => 1,
  58 => 2,
  60 => 2,
  61 => 1,
  62 => 1,
  63 => 2,
  64 => 1,
  66 => 2,
  70 => 1,
  72 => 2,
  73 => 1,
  76 => 1,
  78 => 1,
  79 => 1,
  85 => 1,
  86 => 1,
  88 => 2,
  89 => 1,
  95 => 1,
  105 => 1,
  108 => 1,
  111 => 1,
  115 => 1,
  126 => 2,
  147 => 1,
  149 => 1,
  152 => 1,
  180 => 1,
  219 => 1,
  233 => 1,
  274 => 1
}
